Tagging;message;response
Sapaan;Halo;Hi
Sapaan;Selamat pagi;PAGI PAGI PAGI!
Lainnya;Halo taufan gimana kabarnya?;Sehat alhamdulillah agan mau beli hape ga? Ehehehe
Lainnya;Kok namanya taufan sih?;DIH KEPO
Lainnya;Taufan cowok apa cewek ya?;Duh saya juga gatau kan saya Cuma bot pembantu:(
Lainnya;ini apaan ya?;Halo saya taufan bot yang akan membantu anda mencari hape yang anda inginkan
Lainnya;Taufan kok ganyambung sih?;Mohon maap namanya juga rush development dan masih belajar kak hehe;)
Lainnya;kok ganyambung?;Mohon maap saya memang masih banyak kelemahan dan kesalahan dikarenakan keterbatasan tertenty
"Harga;Gan redmi 5 plus harganya berapa?;3,8 juta gan sekarang"
Harga;gan iphone xs max berapa harganya?;20jutaan gan harganya
Harga;gan xiaomi harganya berapaan gan?;Harga xiaomi rentang 1 juta hingga 6 juta gan
Harga;gan poccophone harganya berapaan?;4 jutaan gan
Promo;gan beli hape redmi 5 plus dapet aksesoris gak?;wah dapetnya hanya charger aja kak hehe
Promo;gan iphone xs max bisa nego gak?;wah kalo iphone xs max blm bisa nego gan
Promo;gan barangnya second ya? Dapet diskon gak?;barang second kami diskon 20%
Promo;gan samsung galaxy note 9 dapet tv gak?;dapet gan bisa buat maen ps4
Promo;Bisa dapet ps4 gratis?;ya beli sendiri lah itu gan hehe
Promo;gan beli hape disini dapet promo apaan aja ya?;kita kasih diskon pembelian 10% untuk aksesoris apapun
Promo;gan beli hp disini dapet promo apaan aja ya?;kita kasih diskon pembelian 10% untuk aksesoris apapun
